"Opcodes";"Fields";"Description"
"lpread";"krmsr, krmso, kerr, kcps [lpread] ktimpnt, ifilcod [, inpoles] [, ifrmrate]";"a control file of time-ordered information frames."
"lpreson";"ares [lpreson] asig";"a signal from the data passed internally by a previous lpread."
"lpshold";"ksig [lpshold] kfreq, ktrig, ktime0, kvalue0[, ktime1] [, kvalue1] [, ktime2] [, kvalue2] [...]";"control signal consisting of held segments."
"lpsholdp";"ksig [lpsholdp]kphase, ktrig, ktime0, kvalue0[, ktime1] [, kvalue1] [, ktime2] [, kvalue2] [...]";"signals based on held segments."
"lpslot";"[lpslot] islot";"the slot to be use by further lp opcodes."
"mac";"ares [mac] asig1, ksig1 [, asig2] [, ksig2] [, asig3] [, ksig3] [...]";"and accumulates a- and k-rate signals."
"maca";"ares [maca] asig1 , asig2 [, asig3] [, asig4] [, asig5] [...]";"and accumulate a-rate signals only."
"madsr";"ares [madsr] iatt, idec, islev, irel [, idel] [, ireltim]";"the classical ADSR envelope using the linsegr mechanism."
"mandel";"kiter, koutrig [mandel]ktrig, kx, ky, kmaxIter";"Mandelbrot set"
"mandol";"ares [mandol] kamp, kfreq, kpluck, kdetune, kgain, ksize, ifn [, iminfreq]";"emulation of a mandolin."
"marimba";"ares [marimba] kamp, kfreq, ihrd, ipos, imp, kvibf, kvamp, ivibfn, idec [, idoubles] [, itriples]";"model related to the striking of a wooden block."
"marimjpff";"(Syntax not available)";"(Description not available)"
"massign";"[massign] ichnl, insnum[, ireset]";"a MIDI channel number to a Csound instrument."
"max";"amax [max] ain1 [, ain2] [, ain3] [, ain4] [...]";"a signal that is the maximum of any number of input signals."
"max_k";"knumkout [max_k] asig, ktrig, itype";"maximum (or minimum) value of an incoming asig signal"
"maxabs";"amax [maxabs] ain1 [, ain2] [, ain3] [, ain4] [...]";"a signal that is the maximum of the absolute values of any number of input signals."
"maxabsaccum";"[maxabsaccum] aAccumulator, aInput";"the maximum of the absolute values of audio signals."
"maxaccum";"[maxaccum] aAccumulator, aInput";"the maximum value of audio signals."
"maxalloc";"[maxalloc] insnum, icount";"the number of allocations of an instrument."
"maxk";"(Syntax not available)";"(Description not available)"
"mclock";"[mclock] ifreq";"a MIDI CLOCK message."
"mdelay";"[mdelay] kstatus, kchan, kd1, kd2, kdelay";"MIDI delay opcode."
"metro";"ktrig[metro]kfreq [, initphase]";"Trigger Metronome"
"midglobal";"[midglobal]isource, instrnum [,instrnum...]";"opcode which can be used to implement a remote midi orchestra. This opcode will broadcast the midi events to all the machines involved in the remote concert."
"midic14";"idest [midic14] ictlno1, ictlno2, imin, imax [, ifn]";"a floating-point 14-bit MIDI signal scaled with a minimum and a maximum range."
"midic21";"idest [midic21] ictlno1, ictlno2, ictlno3, imin, imax [, ifn]";"a floating-point 21-bit MIDI signal scaled with a minimum and a maximum range."
"midic7";"idest [midic7] ictlno, imin, imax [, ifn]";"a floating-point 7-bit MIDI signal scaled with a minimum and a maximum range."
"midichannelaftertouch";"[midichannelaftertouch] xchannelaftertouch [, ilow] [, ihigh]";"a MIDI channel's aftertouch value."
"midichn";"ichn [midichn]";"the MIDI channel number from which the note was activated."
"midicontrolchange";"[midicontrolchange] xcontroller, xcontrollervalue [, ilow] [, ihigh]";"a MIDI control change value."
"midictrl";"ival [midictrl] inum [, imin] [, imax]";"the current value (0-127) of a specified MIDI controller."
"mididefault";"[mididefault] xdefault, xvalue";"values, depending on MIDI activation."
"midiin";"kstatus, kchan, kdata1, kdata2 [midiin]";"a generic MIDI message received by the MIDI IN port."
"midinoteoff";"[midinoteoff] xkey, xvelocity";"a MIDI noteoff value."
"midinoteoncps";"[midinoteoncps] xcps, xvelocity";"a MIDI note number as a cycles-per-second frequency."
"midinoteonkey";"[midinoteonkey] xkey, xvelocity";"a MIDI note number value."
"midinoteonoct";"[midinoteonoct] xoct, xvelocity";"a MIDI note number value as octave-point-decimal value."
"midinoteonpch";"[midinoteonpch] xpch, xvelocity";"a MIDI note number as a pitch-class value."
"midion";"[midion] kchn, knum, kvel";"MIDI notes."
"midion2";"[midion2] kchn, knum, kvel, ktrig";"noteon and noteoff messages to the MIDI OUT port."
"midiout";"[midiout] kstatus, kchan, kdata1, kdata2";"a generic MIDI message to the MIDI OUT port."
"midipgm";"(Syntax not available)";"(Description not available)"
"midipitchbend";"[midipitchbend] xpitchbend [, ilow] [, ihigh]";"a MIDI pitchbend value."
"midipolyaftertouch";"[midipolyaftertouch] xpolyaftertouch, xcontrollervalue [, ilow] [, ihigh]";"a MIDI polyphonic aftertouch value."
"midiprogramchange";"[midiprogramchange] xprogram";"a MIDI program change value."
"miditempo";"ksig[miditempo]";"the current tempo at k-rate, of either the MIDI file (if available) or the score"
"midremot";"[midremot]idestination, isource, instrnum [,instrnum...]";"opcode which can be used to implement a remote midi orchestra. This opcode will send midi events from a source machine to one destination."
"min";"amin [min] ain1 [, ain2] [, ain3] [, ain4] [...]";"a signal that is the minimum of any number of input signals."
"minabs";"amin [minabs] ain1 [, ain2] [, ain3] [, ain4] [...]";"a signal that is the minimum of the absolute values of any number of input signals."
"minabsaccum";"[minabsaccum] aAccumulator, aInput";"the minimum of the absolute values of audio signals."
"minaccum";"[minaccum] aAccumulator, aInput";"the minimum value of audio signals."
"mirror";"ares [mirror] asig, klow, khigh";"the signal that exceeds the low and high thresholds."
"MixerClear";"[MixerClear]";"all channels of a buss to 0."
"MixerGetLevel";"kgain [MixerGetLevel] isend, ibuss";"the level of a send to a buss."
"MixerReceive";"asignal [MixerReceive] ibuss, ichannel";"an arate signal from a channel of a buss."
"MixerSend";"[MixerSend] asignal, isend, ibuss, ichannel";"an arate signal into a channel of a buss."
"MixerSetLevel";"[MixerSetLevel] isend, ibuss, kgain";"the level of a send to a buss."
"mod";"(Syntax not available)";"(Description not available)"
"mode";"aout [mode] ain, kfreq, kQ [, iskip]";"filter that simulates a mass-spring-damper system"
"monitor";"aout1 [,aout2 ... aoutX] [monitor]";"the audio spout frame."
"moog";"ares [moog] kamp, kfreq, kfiltq, kfiltrate, kvibf, kvamp, iafn, iwfn, ivfn";"emulation of a mini-Moog synthesizer."
"moogladder";"asig [moogladder] ain, kcf, kres[, istor]";"ladder lowpass filter."
"moogvcf";"ares [moogvcf] asig, xfco, xres [,iscale, iskip]";"digital emulation of the Moog diode ladder filter configuration."
"moogvcf2";"ares [moogvcf2] asig, xfco, xres [,iscale, iskip]";"digital emulation of the Moog diode ladder filter configuration."
"moscil";"[moscil] kchn, knum, kvel, kdur, kpause";"a stream of the MIDI notes."
"mpulse";"ares [mpulse] kamp, kfreq [, ioffset]";"a set of impulses."
"mrtmsg";"[mrtmsg] imsgtype";"system real-time messages to the MIDI OUT port."
"mul";"(Syntax not available)";"(Description not available)"
"multitap";"ares [multitap] asig [, itime1] [, igain1] [, itime2] [, igain2] [...]";"delay line implementation."
"mute";"[mute] insnum [, iswitch]";"new instances of a given instrument."
"mxadsr";"ares [mxadsr] iatt, idec, islev, irel [, idel] [, ireltim]";"the classical ADSR envelope using the expsegr mechanism."
"nchnls";"[nchnls] = iarg";"the number of channels of audio output."
"nestedap";"ares [nestedap] asig, imode, imaxdel, idel1, igain1 [, idel2] [, igain2] [, idel3] [, igain3] [, istor]";"different nested all-pass filters."
"nlalp";"(Syntax not available)";"(Description not available)"
"nlfilt";"ares [nlfilt] ain, ka, kb, kd, kC, kL";"filter with a non-linear effect."
"noise";"ares [noise] xamp, kbeta";"white noise generator with an IIR lowpass filter."
"not";"(Syntax not available)";"(Description not available)"
"noteoff";"[noteoff] ichn, inum, ivel";"a noteoff message to the MIDI OUT port."
"noteon";"[noteon] ichn, inum, ivel";"a noteon message to the MIDI OUT port."
"noteondur";"[noteondur] ichn, inum, ivel, idur";"a noteon and a noteoff MIDI message both with the same channel, number and velocity."
"noteondur2";"[noteondur2] ichn, inum, ivel, idur";"a noteon and a noteoff MIDI message both with the same channel, number and velocity."
"notnum";"ival [notnum]";"a note number from a MIDI event."
"nreverb";"ares [nreverb] asig, ktime, khdif [, iskip] [,inumCombs] [, ifnCombs] [, inumAlpas] [, ifnAlpas]";"reverberator consisting of 6 parallel comb-lowpass filters."
"nrpn";"[nrpn] kchan, kparmnum, kparmvalue";"a Non-Registered Parameter Number to the MIDI OUT port."
"nsamp";"[nsamp](x) (init-rate args only)";"the number of samples loaded into a stored function table number."
"nstrnum";"insno [nstrnum] "name"";"the number of a named instrument."
"ntrpol";"ares [ntrpol] asig1, asig2, kpoint [, imin] [, imax]";"the weighted mean value of two input signals."
"octave";"[octave](x)";"a factor to raise/lower a frequency by a given amount of octaves."
"octcps";"[octcps] (cps)(init- or control-rate args only)";"a cycles-per-second value to octave-point-decimal."
"octmidi";"ioct [octmidi]";"the note number, in octave-point-decimal units, of the current MIDI event."
"octmidib";"ioct [octmidib] [irange]";"the note number of the current MIDI event and modify it by the current pitch-bend value, express it in octave-point-decimal."
"octpch";"[octpch] (pch)(init- or control-rate args only)";"a pitch-class value to octave-point-decimal."
"opcode";"[opcode] name, outtypes, intypes";"the start of user-defined opcode block."
"or";"(Syntax not available)";"(Description not available)"
"oscbnk";"ares [oscbnk]kcps, kamd, kfmd, kpmd, iovrlap, iseed, kl1minf, kl1maxf, kl2minf, kl2maxf, ilfomode, keqminf, keqmaxf, keqminl, keqmaxl, keqminq, keqmaxq, ieqmode, kfn [, il1fn] [, il2fn] [, ieqffn] [, ieqlfn] [, ieqqfn] [, itabl] [, ioutfn]";"the output of any number of oscillators."
"oscil";"ares [oscil] xamp, xcps, ifn [, iphs]";"simple oscillator."
"oscil1";"kres [oscil1] idel, kamp, idur, ifn";"table values by incremental sampling."
"oscil1i";"kres [oscil1i] idel, kamp, idur, ifn";"table values by incremental sampling with linear interpolation."
"oscil3";"ares [oscil3] xamp, xcps, ifn [, iphs]";"simple oscillator with cubic interpolation."
"oscili";"ares [oscili] xamp, xcps, ifn [, iphs]";"simple oscillator with linear interpolation."
"oscilikt";"ares [oscilikt] xamp, xcps, kfn [, iphs] [, istor]";"linearly interpolated oscillator that allows changing the table number at k-rate."
"osciliktp";"ares [osciliktp] kcps, kfn, kphs [, istor]";"linearly interpolated oscillator that allows allows phase modulation."
"oscilikts";"ares [oscilikts] xamp, xcps, kfn, async, kphs [, istor]";"linearly interpolated oscillator with sync status that allows changing the table number at k-rate."
"osciln";"ares [osciln] kamp, ifrq, ifn, itimes";"table values at a user-defined frequency."
"oscils";"ares [oscils] iamp, icps, iphs [, iflg]";"simple, fast sine oscillator"
"oscilx";"(Syntax not available)";"as the osciln opcode."
"OSCinit";"ihandle [OSCinit] iport";"a listening process for OSC messages to a particular port."
"OSClisten";"kans [OSClisten] ihandle, idest, itype [, xdata1, xdata2, ...]";"for OSC messages to a particular path."
"OSCrecv";"(Syntax not available)";"(Description not available)"
"OSCsend";"[OSCsend] kwhen, ihost, iport, idestination, itype [, kdata1, kdata2, ...]";"data to other processes using the OSC protocol"
"out";"[out] asig";"mono audio data to an external device or stream."
"out32";"[out32] asig1, asig2, asig3, asig4, asig5, asig6, asig7, asig8, asig10, asig11, asig12, asig13, asig14, asig15, asig16, asig17, asig18, asig19, asig20, asig21, asig22, asig23, asig24, asig25, asig26, asig27, asig28, asig29, asig30, asig31, asig32";"32-channel audio data to an external device or stream."
"outc";"[outc] asig1 [, asig2] [...]";"audio data with an arbitrary number of channels to an external device or stream."
"outch";"[outch] ksig1, asig1 [, ksig2] [, asig2] [...]";"multi-channel audio data, with user-controllable channels, to an external device or stream."
"outh";"[outh] asig1, asig2, asig3, asig4, asig5, asig6";"6-channel audio data to an external device or stream."
"outiat";"[outiat] ichn, ivalue, imin, imax";"MIDI aftertouch messages at i-rate."
"outic";"[outic] ichn, inum, ivalue, imin, imax";"MIDI controller output at i-rate."
"outic14";"[outic14] ichn, imsb, ilsb, ivalue, imin, imax";"14-bit MIDI controller output at i-rate."
"outipat";"[outipat] ichn, inotenum, ivalue, imin, imax";"polyphonic MIDI aftertouch messages at i-rate."
"outipb";"[outipb] ichn, ivalue, imin, imax";"MIDI pitch-bend messages at i-rate."
"outipc";"[outipc] ichn, iprog, imin, imax";"MIDI program change messages at i-rate"
"outkat";"[outkat] kchn, kvalue, kmin, kmax";"MIDI aftertouch messages at k-rate."
"outkc";"[outkc] kchn, knum, kvalue, kmin, kmax";"MIDI controller messages at k-rate."
"outkc14";"[outkc14] kchn, kmsb, klsb, kvalue, kmin, kmax";"14-bit MIDI controller output at k-rate."
"outkpat";"[outkpat] kchn, knotenum, kvalue, kmin, kmax";"polyphonic MIDI aftertouch messages at k-rate."
"outkpb";"[outkpb] kchn, kvalue, kmin, kmax";"MIDI pitch-bend messages at k-rate."
"outkpc";"[outkpc] kchn, kprog, kmin, kmax";"MIDI program change messages at k-rate."
"outo";"[outo] asig1, asig2, asig3, asig4, asig5, asig6, asig7, asig8";"8-channel audio data to an external device or stream."
"outq";"[outq] asig1, asig2, asig3, asig4";"4-channel audio data to an external device or stream."
"outq1";"[outq1] asig";"samples to quad channel 1 of an external device or stream."
"outq2";"[outq2] asig";"samples to quad channel 2 of an external device or stream."
"outq3";"[outq3] asig";"samples to quad channel 3 of an external device or stream."
"outq4";"[outq4] asig";"samples to quad channel 4 of an external device or stream."
"outs";"[outs] asig1, asig2";"stereo audio data to an external device or stream."
"outs1";"[outs1] asig";"samples to stereo channel 1 of an external device or stream."
"outs2";"[outs2] asig";"samples to stereo channel 2 of an external device or stream."
"outvalue";"[outvalue] "channel name", kvalue";"a k-rate signal or string to a user-defined channel."
"outx";"[outx] asig1, asig2, asig3, asig4, asig5, asig6, asig7, asig8, asig9, asig10, asig11, asig12, asig13, asig14, asig15, asig16";"16-channel audio data to an external device or stream."
"outz";"[outz] ksig1";"multi-channel audio data from a ZAK array to an external device or stream."
"p";"[p](x)";"the value in a given p-field."
"pan";"a1, a2, a3, a4 [pan] asig, kx, ky, ifn [, imode] [, ioffset]";"an audio signal amongst four channels."
"pareq";"ares [pareq] asig, kc, kv, kq [, imode] [, iskip]";"of Zoelzer's parametric equalizer filters."
"partials";"ftrks [partials] ffr, fphs, kthresh, kminpts, kmaxgap, imaxtracks";"Partial track spectral analysis."
"pcauchy";"ares [pcauchy] kalpha";"distribution random number generator (positive values only)."
"pchbend";"ibend [pchbend] [imin] [, imax]";"the current pitch-bend value for this channel."
"pchmidi";"ipch [pchmidi]";"the note number of the current MIDI event, expressed in pitch-class units."
"pchmidib";"ipch [pchmidib] [irange]";"the note number of the current MIDI event and modify it by the current pitch-bend value, express it in pitch-class units."
"pchoct";"[pchoct] (oct)(init- or control-rate args only)";"an octave-point-decimal value to pitch-class."
"pconvolve";"ar1 [, ar2] [, ar3] [, ar4] [pconvolve] ain, ifilcod [, ipartitionsize, ichannel]";"based on a uniformly partitioned overlap-save algorithm"
"pcount";"icount [pcount]";"the number of pfields belonging to a note event."
"peak";"kres [peak] asig";"the output equal to the highest absolute value received."
"pgmassign";"[pgmassign] ipgm, inst[, ichn]";"an instrument number to a specified MIDI program."
"pgmchn";"(Syntax not available)";"(Description not available)"
"phaser1";"ares [phaser1] asig, kfreq, kord, kfeedback [, iskip]";"allpass filters arranged in a series."
"phaser2";"ares [phaser2] asig, kfreq, kq, kord, kmode, ksep, kfeedback";"allpass filters arranged in a series."
"phasor";"ares [phasor] xcps [, iphs]";"a normalized moving phase value."
"phasorbnk";"ares [phasorbnk] xcps, kndx, icnt [, iphs]";"an arbitrary number of normalized moving phase values."
"pindex";"ivalue [pindex] ipfieldIndex";"the value of a specified pfield."
"pinkish";"ares [pinkish] xin [, imethod] [, inumbands] [, iseed] [, iskip]";"approximate pink noise."
"pitch";"koct, kamp [pitch] asig, iupdte, ilo, ihi, idbthresh [, ifrqs] [, iconf] [, istrt] [, iocts] [, iq] [, inptls] [, irolloff] [, iskip]";"the pitch of a signal."
"pitchamdf";"kcps, krms [pitchamdf] asig, imincps, imaxcps [, icps] [, imedi] [, idowns] [, iexcps] [, irmsmedi]";"the pitch of a signal based on the AMDF method."
"planet";"ax, ay, az [planet] kmass1, kmass2, ksep, ix, iy, iz, ivx, ivy, ivz, idelta [, ifriction] [, iskip]";"a planet orbiting in a binary star system."
"pluck";"ares [pluck] kamp, kcps, icps, ifn, imeth [, iparm1] [, iparm2]";"a naturally decaying plucked string or drum sound."
"poisson";"ares [poisson] klambda";"distribution random number generator (positive values only)."
"polyaft";"ires [polyaft] inote [, ilow] [, ihigh]";"Returns the polyphonic after-touch pressure of the selected note number."
"pop";"xval1, [xval2, ... , xval31] [pop]";"values from the global stack."
"pop_f";"fsig [pop_f]";"an f-sig frame from the global stack."
"port";"kres [port] ksig, ihtim [, isig]";"portamento to a step-valued control signal."
"portk";"kres [portk] ksig, khtim [, isig]";"portamento to a step-valued control signal."
"poscil";"ares [poscil] aamp, acps, ifn [, iphs]";"precision oscillator."
"poscil3";"ares [poscil3] kamp, kcps, ifn [, iphs]";"precision oscillator with cubic interpolation."
"pow";"ares [pow] aarg, kpow [, inorm]";"one argument to the power of another argument."
"powoftwo";"[powoftwo](x)(init-rate or control-rate args only)";"apower-of-two calculation."
"prealloc";"[prealloc] insnum, icount";"space for instruments but does not run them."
"prepiano";"ares [prepiano] ifreq, iNS, iD, iK, iT30,iB, kbcl, kbcr, imass, ifreq, iinit, ipos, ivel, isfreq, isspread[, irattles, irubbers]";"a tone similar to a piano string prepared in a Cageian fashion."
"print";"[print] iarg [, iarg1] [, iarg2] [...]";"the values init (i-rate) variables."
"printf";"[printf_i] Sfmt, itrig, [xarg1[, xarg2[, ... ]]]";"formatted output"
"printf_i";"(Syntax not available)";"(Description not available)"
"printk";"[printk] itime, kval [, ispace]";"one k-rate value at specified intervals."
"printk2";"[printk2] kvar [, inumspaces]";"a new value every time a control variable changes."
"printks";"[printks] "string", itime [, kval1] [, kval2] [...]";"at k-rate using a printf() style syntax."
"prints";"[prints] "string" [, kval1] [, kval2] [...]";"at init-time using a printf() style syntax."
"product";"ares [product] asig1, asig2 [, asig3] [...]";"any number of a-rate signals."
"pset";"[pset] icon1 [, icon2] [...]";"and initializes numeric arrays at orchestra load time."
"ptrack";"kcps, kamp [ptrack] asig, ihopsize[,ipeaks]";"the pitch of a signal."
"push";"[push]xval1, [xval2, ... , xval31]";"a value into the global stack."
"push_f";"[push_f]fsig";"an f-sig frame into the global stack."
"puts";"[puts] Sstr, ktrig[, inonl]";"a string constant or variable"
"pvadd";"ares [pvadd] ktimpnt, kfmod, ifilcod, ifn, ibins [, ibinoffset] [, ibinincr] [, iextractmode] [, ifreqlim] [, igatefn]";"from a"
"pvbufread";"[pvbufread] ktimpnt, ifile";"from a phase vocoder analysis file and makes the retrieved data available."
"pvcross";"ares [pvcross] ktimpnt, kfmod, ifile, kampscale1, kampscale2 [, ispecwp]";"the amplitudes from one phase vocoder analysis file to the data from a second file."
"pvinterp";"ares [pvinterp] ktimpnt, kfmod, ifile, kfreqscale1, kfreqscale2, kampscale1, kampscale2, kfreqinterp, kampinterp";"between the amplitudes and frequencies of two phase vocoder analysis files."
"pvoc";"ares [pvoc] ktimpnt, kfmod, ifilcod [, ispecwp] [, iextractmode] [, ifreqlim] [, igatefn]";"signal reconstruction using an fft-based phase vocoder."
"pvread";"kfreq, kamp [pvread] ktimpnt, ifile, ibin";"from a phase vocoder analysis file and returns the frequency and amplitude from a single analysis channel or bin."
"pvsadsyn";"ares [pvsadsyn] fsrc, inoscs, kfmod [, ibinoffset] [, ibinincr] [, iinit]";"using a fast oscillator-bank."
"pvsanal";"fsig [pvsanal] ain, ifftsize, ioverlap, iwinsize, iwintype [, iformat] [, iinit]";"an fsig from a mono audio source ain, using phase vocoder overlap-add analysis."
"pvsarp";"fsig [pvsarp] fsigin, kbin, kdepth, kgain";"the spectral components of a streaming pv signal."
"pvsbin";"kamp, kfr [pvsbin] fsig, kbin";"the amp and freq values off a PVS signal bin."
"pvsblur";"fsig [pvsblur] fsigin, kblurtime, imaxdel";"the amp/freq time functions of each analysis channel fora specified time."
"pvscale";"fsig [pvscale] fsigin, kscal[, ikeepform, igain]]";"the frequency components of a pv stream."
"pvscent";"kcent [pvscent] fsig";"the spectral centroid of a signal."
"pvscross";"fsig [pvscross] fsrc, fdest, kamp1, kamp2";"cross-synthesis between two source fsigs."
"pvsdemix";"fsig [pvsdemix] fleft, fright, kpos, kwidth, ipoints";"azimuth-based de-mixing of stereo sources."
"pvsdisp";"[pvsdisp] fsig[, ibins, iwtflg]";"a PVS signal as an amplitude vs. freq graph."
"pvsfilter";"fsig [pvsfilter] fsigin, fsigfil, kdepth[, igain]";"amplitudes of a pvoc stream by those of a secondpvoc stream, with dynamic scaling."
"pvsfread";"fsig [pvsfread] ktimpt, ifn [, ichan]";"a selected channel from a PVOC-EX analysis file."
"pvsfreeze";"fsig [pvsfreeze] fsigin, kfreeza, kfreezf";"the amplitude and frequency time functions of a pv stream according to a control-ratetrigger."
"pvsftr";"[pvsftr] fsrc, ifna [, ifnf]";"amplitude and/or frequency data from function tables."
"pvsftw";"kflag [pvsftw] fsrc, ifna [, ifnf]";"amplitude and/or frequency data to function tables."
"pvsfwrite";"[pvsfwrite] fsig, ifile";"Write a fsig to a PVOCEX file."
"pvshift";"fsig [pvshift] fsigin, kshift, klowest[, ikeepform, igain]";"the frequency components of a pv stream, stretching/compressingits spectrum."
"pvsifd";"ffr,fphs [pvsifd] ain, ifftsize, ihopsize, iwintype[,iscal]";"Instantaneous Frequency Distribution, magnitude and phase analysis."
"pvsin";"fsig [pvsin] kchan[,isize,iolap,iwinsize,iwintype,iformat]";"Retrieve an fsig from the input software bus; a pvs equivalent to chani."
"pvsinfo";"ioverlap, inumbins, iwinsize, iformat [pvsinfo] fsrc";"information from a PVOC-EX formatted source."
"pvsinit";"fsig [pvsinit] isize[,iolap,iwinsize,iwintype, iformat]";"a spectral (f) variable to zero."
"pvsmaska";"fsig [pvsmaska] fsrc, ifn, kdepth";"amplitudes using a function table, with dynamic scaling."
"pvsmix";"fsig [pvsmix] fsigin1, fsigin2";"'seamlessly' two pv signals."
"pvsmooth";"fsig [pvsmooth] fsigin, kacf, kfcf";"Smooth the amplitude and frequency time functions of a pv stream using parallel 1st order lowpass IIR filters with time-varying cutoff frequency."
"pvsosc";"fsig [pvsosc] kamp, kfreq, ktype, isize[,iolap]";"oscillator simulator."
"pvsout";"[pvsout] fsig, kchan";"Write a fsig to the pvs output bus."
"pvspitch";"kfr, kamp [pvspitch] fsig, kthresh";"the pitch and amplitude of a PVS signal."
"pvstencil";"fsig [pvstencil] fsigin, kgain, klevel, iftable";"a pvoc stream according to a masking function table."
"pvsvoc";"fsig [pvsvoc] famp, fexc, kdepth, kgain";"the spectral envelope of one fsig with the excitation (frequencies) of another."
"pvsynth";"ares [pvsynth] fsrc, [iinit]";"using a FFT overlap-add."
"pyassign";"[pyassign] "variable", kvalue";"the value of the given Csound variable to a Python variable possibly destroying its previous content."
"pyassigni";"(Syntax not available)";"(Description not available)"
"pyassignt";"(Syntax not available)";"(Description not available)"
"pycall";"pycall "callable", karg1, ...kresult pycall1"callable", karg1, ...kresult1, kresult2pycall2"callable", karg1, ...kr1, kr2, kr3 pycall3"callable", karg1, ...kr1, kr2, kr3, kr4pycall4"callable", karg1, ...kr1, kr2, kr3, kr4, kr5 pycall5"callable", karg1, ..";"the specified Python callable atk-time and i-time (i suffix), passing the given arguments. The call isperfomed in the global environment, and the result (the returningvalue) is copied into the Csound output variables specified."
"pycall1";"(Syntax not available)";"(Description not available)"
"pycall1i";"(Syntax not available)";"(Description not available)"
"pycall1t";"(Syntax not available)";"(Description not available)"
"pycall2";"(Syntax not available)";"(Description not available)"
"pycall2i";"(Syntax not available)";"(Description not available)"
"pycall2t";"(Syntax not available)";"(Description not available)"
"pycall3";"(Syntax not available)";"(Description not available)"
"pycall3i";"(Syntax not available)";"(Description not available)"
"pycall3t";"(Syntax not available)";"(Description not available)"
"pycall4";"(Syntax not available)";"(Description not available)"
"pycall4i";"(Syntax not available)";"(Description not available)"
"pycall4t";"(Syntax not available)";"(Description not available)"
"pycall5";"(Syntax not available)";"(Description not available)"
"pycall5i";"(Syntax not available)";"(Description not available)"
"pycall5t";"(Syntax not available)";"(Description not available)"
"pycall6";"(Syntax not available)";"(Description not available)"
"pycall6i";"(Syntax not available)";"(Description not available)"
"pycall6t";"(Syntax not available)";"(Description not available)"
"pycall7";"(Syntax not available)";"(Description not available)"
"pycall7i";"(Syntax not available)";"(Description not available)"
"pycall7t";"(Syntax not available)";"(Description not available)"
"pycall8";"(Syntax not available)";"(Description not available)"
"pycall8i";"(Syntax not available)";"(Description not available)"
"pycall8t";"(Syntax not available)";"(Description not available)"
"pycalli";"(Syntax not available)";"(Description not available)"
"pycalln";"(Syntax not available)";"(Description not available)"
"pycallni";"(Syntax not available)";"(Description not available)"
"pycallt";"(Syntax not available)";"(Description not available)"
"pyeval";"kresult [pyeval] "expression"";"a generic Python expression and store the result in a Csound variable at k-time or i-time (i suffix)."
"pyevali";"(Syntax not available)";"(Description not available)"
"pyevalt";"(Syntax not available)";"(Description not available)"
"pyexec";"[pyexec] "filename"";"a script from a file at k-time or i-time (i suffix)."
"pyexeci";"(Syntax not available)";"(Description not available)"
"pyexect";"(Syntax not available)";"(Description not available)"
"pyinit";"[pyinit]";"the Python interpreter."
"pylassign";"(Syntax not available)";"(Description not available)"
"pylassigni";"(Syntax not available)";"(Description not available)"
"pylassignt";"(Syntax not available)";"(Description not available)"
"pylcall";"(Syntax not available)";"(Description not available)"
"pylcall1";"(Syntax not available)";"(Description not available)"
"pylcall1i";"(Syntax not available)";"(Description not available)"
"pylcall1t";"(Syntax not available)";"(Description not available)"
"pylcall2";"(Syntax not available)";"(Description not available)"
"pylcall2i";"(Syntax not available)";"(Description not available)"
"pylcall2t";"(Syntax not available)";"(Description not available)"
"pylcall3";"(Syntax not available)";"(Description not available)"
"pylcall3i";"(Syntax not available)";"(Description not available)"
"pylcall3t";"(Syntax not available)";"(Description not available)"
"pylcall4";"(Syntax not available)";"(Description not available)"
"pylcall4i";"(Syntax not available)";"(Description not available)"
"pylcall4t";"(Syntax not available)";"(Description not available)"
"pylcall5";"(Syntax not available)";"(Description not available)"
"pylcall5i";"(Syntax not available)";"(Description not available)"
"pylcall5t";"(Syntax not available)";"(Description not available)"
"pylcall6";"(Syntax not available)";"(Description not available)"
"pylcall6i";"(Syntax not available)";"(Description not available)"
"pylcall6t";"(Syntax not available)";"(Description not available)"
"pylcall7";"(Syntax not available)";"(Description not available)"
"pylcall7i";"(Syntax not available)";"(Description not available)"
"pylcall7t";"(Syntax not available)";"(Description not available)"
"pylcall8";"(Syntax not available)";"(Description not available)"
"pylcall8i";"(Syntax not available)";"(Description not available)"
"pylcall8t";"(Syntax not available)";"(Description not available)"
"pylcalli";"(Syntax not available)";"(Description not available)"
"pylcalln";"(Syntax not available)";"(Description not available)"
"pylcallni";"(Syntax not available)";"(Description not available)"
"pylcallt";"(Syntax not available)";"(Description not available)"
"pyleval";"(Syntax not available)";"(Description not available)"
"pylevali";"(Syntax not available)";"(Description not available)"
"pylevalt";"(Syntax not available)";"(Description not available)"
"pylexec";"(Syntax not available)";"(Description not available)"
"pylexeci";"(Syntax not available)";"(Description not available)"
"pylexect";"(Syntax not available)";"(Description not available)"
"pylrun";"(Syntax not available)";"(Description not available)"
"pylruni";"(Syntax not available)";"(Description not available)"
"pylrunt";"(Syntax not available)";"(Description not available)"
"pyrun";"[pyrun] "statement"";"a Python statement or block of statements."
"pyruni";"(Syntax not available)";"(Description not available)"
"pyrunt";"(Syntax not available)";"(Description not available)"
"rand";"ares [rand] xamp [, iseed] [, isel] [, ioffset]";"a controlled random number series."
"randh";"ares [randh] xamp, xcps [, iseed] [, isize] [, ioffset]";"random numbers and holds them for a period of time."
